Afghanistan,33.7680065,66.2385139
Albania,11.24488255,-72.5160988093715
Algeria,28.0000272,2.9999825
Angola,-11.8775768,17.5691241
Anguilla,18.1954947,-63.0750234
Antigua and Barbuda,17.079128,-61.8222516
Argentina,-34.9964963,-64.9672817
Armenia,4.4922673,-75.7396253904384
Aruba,12.5013629,-69.9618475
Australia,-24.7761086,134.755
Austria,47.2000338,13.199959
Azerbaijan,40.3936294,47.7872508
Bahamas,24.7736546,-78.0000547
Bahrain,35.2078012,72.5473968
Bangladesh,24.4768783,90.2932426
Barbados,13.1500331,-59.5250305
Belarus,53.4250605,27.6971358
Belgium,50.6407351,4.66696
Belize,16.8259793,-88.7600927
Benin,6.3330586,5.6221058
Bolivia (Plurinational State of),52.0893477,4.3056907
Bonaire,12.167,-68.2909680033101
Bosnia and Herzegovina,44.3053476,17.5961467
Botswana,-23.1681782,24.5928742
Brazil,-10.3333333,-53.2
British Virgin Islands,18.4024395,-64.5661642
Brunei Darussalam,4.4137155,114.5653908
Bulgaria,42.6073975,25.4856617
Burkina Faso,12.0753083,-1.6880314
Burundi,-3.3634357,29.8870575
Cabo Verde,16.0000552,-24.0083947
Cambodia,13.5066394,104.869423
Cameroon,4.6125522,13.1535811
Canada,61.0666922,-107.9917071
Cayman Islands,19.5417212,-80.5667132
Chad,15.6134137,19.0156172
Chile,-31.7613365,-71.3187697
China,39.9042,116.4074
"China, Hong Kong SAR",39.8871676,8.6026857
Colombia,2.8894434,-73.783892
Congo,-0.7264327,15.6419155
Costa Rica,10.2735633,-84.0739102
Croatia,45.5643442,17.0118954
Cuba,23.0131338,-80.8328748
Curaçao,12.1845,-68.9640918594077
Cyprus,34.9823018,33.1451285
Czech Rep.,49.8167003,15.4749544
Côte d'Ivoire,7.9897371,-5.5679458
Denmark,55.670249,10.3333283
Dem. Rep. of the Congo,4.0383,21.7587
Djibouti,11.85677545,42.7577845199437
Ecuador,-1.3397668,-79.3666965
Egypt,26.2540493,29.2675469
El Salvador,13.8000382,-88.9140683
Eritrea,15.1794,39.7823
Estonia,58.7523778,25.3319078
Ethiopia,10.2116702,38.6521203
Fiji,-18.1239696,179.0122737
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
Gabon,-0.8999695,11.6899699
Gambia,13.470062,-15.4900464
Georgia,32.3293809,-83.1137366
Germany,51.0834196,10.4234469
Ghana,8.0300284,-1.0800271
Greece,38.9953683,21.9877132
Grenada,12.1360374,-61.6904045
Guatemala,15.6356088,-89.8988087
Guinea,38.1440893,-77.4391124
Guinea-Bissau,12.100035,-14.9000214
Guyana,4.88732,-58.9398798968075
Haiti,18.98801315,-72.2946027714031
